file_path,Apps,BBB web,Presentation Conversion,Redis DB,Redis PubSub,best_module,best_likelihood
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\web\services\turn\StunTurnService.java,0.31043360573904855,2.628118678501674,0.19767701285226005,0.02389731066567557,0.14484385081699916,BBB web,2.628118678501674
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\messaging\MessageListener.java,0.35599961962018695,2.329102216448103,0.10562331335885185,0.08782497133527484,0.22105685642787387,BBB web,2.329102216448103
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\model\entity\Metadata.java,0.30186358860560825,2.3719528198242186,0.24091524396623884,0.23667537144252232,0.06688995361328125,BBB web,2.3719528198242186
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\domain\Extensions.java,0.298036984034947,2.26800057547433,0.1050764765058245,0.0,0.03062084402356829,BBB web,2.26800057547433
bigbluebutton\bbb-fsesl-client\src\main\java\org\freeswitch\esl\client\internal\HeaderParser.java,0.1866168567112514,1.2572219848632813,0.028783273696899415,0.004741647413798741,1.281526338841234E-4,BBB web,1.2572219848632813
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\presentation\messages\DocPageGeneratedProgress.java,0.36197373526436943,2.360245840890067,2.661652265276228,0.10682416643415178,0.31931999751499723,Presentation Conversion,2.661652265276228
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\messaging\messages\UserStatusChanged.java,0.6687345777239119,2.3193913051060266,0.21665013177054268,0.1368880271911621,0.3404460089547294,BBB web,2.3193913051060266
bigbluebutton\akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\commands\ConferenceCommand.java,0.09292545318603515,1.3161067417689731,0.028851093564714703,0.0,0.0306098427091326,BBB web,1.3161067417689731
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\common\messages\MessageBuilder.java,0.16168391363961357,2.228251211983817,0.1311096327645438,0.1743372780936105,0.3490130833217076,BBB web,2.228251211983817
bigbluebutton\akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\actions\GetUsersStatusCommand.java,0.43496734074183874,1.4694933210100447,0.29374514988490513,0.17205805097307478,0.09416018213544573,BBB web,1.4694933210100447
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\presentation\FileTypeConstants.java,0.5351081303187779,2.4621449061802454,3.08606436593192,0.08472952161516462,0.13875346864972796,Presentation Conversion,3.08606436593192
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\messaging\messages\MeetingEnded.java,0.548549325125558,2.3214898245675224,0.10534604617527553,0.1397265842982701,0.34815256936209543,BBB web,2.3214898245675224
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\model\entity\PlaybackFormat.java,0.2679490498134068,2.364854213169643,0.28637877873011996,0.22872685023716519,0.0692763124193464,BBB web,2.364854213169643
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\domain\Poll.java,0.6182355063302176,2.360074942452567,0.18530548640659877,0.18107504163469587,0.0967249938419887,BBB web,2.360074942452567
bigbluebutton\bbb-recording-imex\src\main\java\org\bigbluebutton\RecordingExportHandler.java,0.3040125710623605,1.4273372105189732,0.7003511156354632,0.6075826372419085,0.24108595166887556,BBB web,1.4273372105189732
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\model\constraint\PasswordConstraint.java,0.44887518201555526,2.4730281284877234,0.19631598336356026,0.15052674157278878,0.29276509966169084,BBB web,2.4730281284877234
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\model\constraint\GuestPolicyConstraint.java,0.523003169468471,2.533853585379464,0.1955772944859096,0.24154976436070033,0.29112121037074495,BBB web,2.533853585379464
bigbluebutton\bbb-fsesl-client\src\main\java\org\freeswitch\esl\client\example\HeartbeatThread.java,0.6088345663888114,1.3672795976911272,0.29170445033482145,0.058042567116873604,0.058042567116873604,BBB web,1.3672795976911272
bigbluebutton\akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\actions\CheckIfConfIsRunningCommand.java,0.4578559330531529,1.456844002859933,0.21285901750837052,0.18620493752615794,0.06616156441824776,BBB web,1.456844002859933
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\RecordingServiceHelper.java,0.40312186649867465,2.3694510323660714,0.27376714433942523,0.2658525194440569,0.08876332555498395,BBB web,2.3694510323660714
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\presentation\PageConverter.java,0.24168603079659598,2.4034290858677454,3.032323564801897,0.03636716433933803,0.13579109736851283,Presentation Conversion,3.032323564801897
