file_path,IMBS,KDE,LBP_MRF,LBSP,MultiLayer,PBAS,SigmaDelta,T2F,TwoPoints,ViBe,VuMeter,general,lb,main,best_module,best_likelihood
bgslibrary\gui\qt\texteditor.cpp,6.652712821960449,15.83362865447998,10.350719451904297,5.558901786804199,9.958497047424316,7.097165584564209,6.9953718185424805,3.9460926055908203,8.041680335998535,25.065950393676758,9.935525894165039,5.083948135375977,7.220385551452637,7.502312183380127,ViBe,25.065950393676758
bgslibrary\bgslibrary\algorithms\KDE\NPBGmodel.h,1.1420775651931763,84.43495178222656,13.654436111450195,3.2348856925964355,1.1420775651931763,0.0,1.1420775651931763,0.0,4.100804805755615,13.459407806396484,1.1420775651931763,3.4439921379089355,1.159837245941162,4.376963138580322,KDE,84.43495178222656
bgslibrary\bgslibrary\algorithms\dp\GrimsonGMM.cpp,3.055396795272827,15.835777282714844,41.23410415649414,6.761846542358398,9.952327728271484,19.32939338684082,6.759450435638428,18.072769165039062,5.1945695877075195,12.799772262573242,6.759450435638428,7.385983467102051,44.308921813964844,14.908783912658691,lb,44.308921813964844
bgslibrary\bgslibrary\algorithms\DPAdaptiveMedian.cpp,19.179115295410156,11.059797286987305,10.203857421875,6.436711311340332,7.096803665161133,24.64499855041504,7.096803665161133,4.083117485046387,5.26445198059082,15.567214012145996,7.096803665161133,7.584630012512207,33.89701461791992,14.884926795959473,lb,33.89701461791992
bgslibrary\bgslibrary\algorithms\SigmaDelta\sdLaMa091.h,2.8477625846862793,8.68885612487793,24.740999221801758,6.857890605926514,6.3859992027282715,10.162181854248047,128.78562927246094,3.5863380432128906,5.0359296798706055,2.8477625846862793,6.3859992027282715,6.842775821685791,7.755645275115967,11.612621307373047,SigmaDelta,128.78562927246094
bgslibrary\bgslibrary\algorithms\LBMixtureOfGaussians.h,18.51709747314453,0.4100036919116974,27.19275665283203,2.613239288330078,1.1420775651931763,20.154335021972656,1.1420775651931763,0.17503051459789276,3.3463287353515625,1.1420775651931763,1.1420775651931763,3.619022846221924,90.92034912109375,11.138910293579102,lb,90.92034912109375
bgslibrary\bgslibrary\algorithms\MixtureOfGaussianV1.cpp,20.003463745117188,11.500636100769043,16.609272003173828,9.258543014526367,7.361715793609619,16.046770095825195,7.361715793609619,6.780458927154541,5.3326497077941895,16.239547729492188,7.361715793609619,7.888549327850342,10.664794921875,13.557883262634277,IMBS,20.003463745117188
bgslibrary\bgslibrary\algorithms\WeightedMovingVariance.cpp,17.06513214111328,9.712119102478027,17.687164306640625,7.883849143981934,6.564394950866699,11.99862289428711,6.564394950866699,51.76363754272461,4.920241832733154,18.195837020874023,6.564394950866699,6.932662010192871,8.776599884033203,22.605239868164062,T2F,51.76363754272461
bgslibrary\bgslibrary\algorithms\AdaptiveBackgroundLearning.cpp,19.192832946777344,11.543784141540527,17.04383659362793,9.14514446258545,7.39130163192749,17.053821563720703,7.39130163192749,49.26286315917969,5.367877960205078,16.667253494262695,7.39130163192749,7.80797815322876,7.7025465965271,13.500785827636719,T2F,49.26286315917969
bgslibrary\bgslibrary\algorithms\LBSP\BackgroundSubtractorLOBSTER.cpp,5.3878374099731445,18.911548614501953,40.89122772216797,99.76934051513672,3.6053054332733154,3.764554262161255,3.2786741256713867,13.109704971313477,5.556997299194336,19.63433265686035,4.278674125671387,7.282581329345703,42.914695739746094,15.241263389587402,LBSP,99.76934051513672
bgslibrary\bgslibrary\algorithms\dp\Eigenbackground.cpp,3.1128733158111572,9.845741271972656,29.738073348999023,7.037382125854492,9.387063026428223,10.80424976348877,6.93962287902832,46.326011657714844,5.2660393714904785,10.935734748840332,6.93962287902832,11.127939224243164,11.542109489440918,17.365238189697266,T2F,46.326011657714844
bgslibrary\bgslibrary\FrameProcessor.h,68.8187026977539,90.72589111328125,196.43292236328125,30.45795249938965,96.0916748046875,16.051790237426758,115.17752075195312,61.94527053833008,117.69458770751953,62.25381088256836,113.11392974853516,1.3747191429138184,62.157997131347656,12.477972984313965,LBP_MRF,196.43292236328125
bgslibrary\wrapper\matlab\mxarray.h,18.376508712768555,0.05440965294837952,10.192575454711914,10.223856925964355,0.0,4.8789849281311035,0.7320879697799683,5.241086006164551,2.9895544052124023,17.513376235961914,0.7320879697799683,1.9280579090118408,7.053198337554932,7.872826099395752,IMBS,18.376508712768555
bgslibrary\bgslibrary\algorithms\FrameDifference.cpp,20.181385040283203,11.56103801727295,10.814456939697266,9.313308715820312,7.391539573669434,16.268779754638672,7.391539573669434,4.208582878112793,5.342416763305664,3.1530802249908447,7.391539573669434,7.74576997756958,7.543953895568848,14.193831443786621,IMBS,20.181385040283203
bgslibrary\bgslibrary\algorithms\KDE\NPBGmodel.cpp,1.1359264850616455,82.29475402832031,17.20428466796875,3.336498498916626,1.1359264850616455,0.0,1.1359264850616455,0.0,4.053147315979004,14.817709922790527,1.1359264850616455,3.4247703552246094,1.1529173851013184,4.4724249839782715,KDE,82.29475402832031
bgslibrary\gui\qt\qt_utils.cpp,0.3909761905670166,16.63714027404785,34.51265335083008,2.7449235916137695,4.385179042816162,2.3021433353424072,0.3909761905670166,2.4232232570648193,1.665866494178772,28.27748680114746,0.3909761905670166,3.9570319652557373,3.406137704849243,7.299503803253174,LBP_MRF,34.51265335083008
bgslibrary\bgslibrary\algorithms\VuMeter.h,20.222087860107422,7.611559867858887,7.9888482093811035,6.239784240722656,4.772095680236816,26.045413970947266,4.772095680236816,3.8051414489746094,5.1599602699279785,2.956731081008911,142.38079833984375,7.246912479400635,7.095391750335693,22.19420051574707,VuMeter,142.38079833984375
