file_path,dsp,feature,general,mir,best_module,best_likelihood
audioflux\include\classic\viterbi.h,0.0,0.0,1.327130913734436,0.0,general,1.327130913734436
audioflux\src\cwt_algorithm.h,2.451601982116699,6.855281829833984,2.8530259132385254,0.4014240503311157,feature,6.855281829833984
audioflux\src\flux_base.h,27.870725631713867,9.10057544708252,5.8928093910217285,64.33916473388672,mir,64.33916473388672
audioflux\src\vector\flux_complex.h,0.0,1.0041590929031372,0.3109874725341797,1.0439162254333496,mir,1.0439162254333496
audioflux\src\mir\hpss_algorithm.h,1.4595431089401245,1.0,1.868025779724121,77.61735534667969,mir,77.61735534667969
audioflux\src\dwt_algorithm.h,18.827821731567383,1.6735039949417114,1.8793652057647705,0.41381892561912537,dsp,18.827821731567383
audioflux\src\flux_temporal.h,0.0,7.003628730773926,0.0,0.0,feature,7.003628730773926
audioflux\include\mir\pitchShift_algorithm.h,1.4649940729141235,1.0,1.8783221244812012,77.18438720703125,mir,77.18438720703125
audioflux\src\filterbank\dwt_filterCoef.c,130.2165985107422,0.31608209013938904,3.497828722000122,70.4624252319336,dsp,130.2165985107422
audioflux\src\classic\viterbi.c,0.0,0.0,2.1248233318328857,15.207341194152832,mir,15.207341194152832
audioflux\include\feature\chroma_algorithm.h,1.4638935327529907,120.00308227539062,1.8762433528900146,2.4123497009277344,feature,120.00308227539062
audioflux\src\swt_algorithm.h,1.4655463695526123,1.0,1.8793652057647705,0.41381892561912537,general,1.8793652057647705
