file_path,IMBS,KDE,LBP_MRF,LBSP,MultiLayer,PBAS,SigmaDelta,T2F,TwoPoints,ViBe,VuMeter,dp,general,main,best_module,best_likelihood
bgslibrary\bgslibrary\tools\PerformanceUtils.h,0.34374797344207764,0.0,0.0,1.0,0.0,1.3437479734420776,0.34374797344207764,0.0,1.3455277681350708,1.3437479734420776,1.3437479734420776,0.0,1.0,0.0,TwoPoints,1.3455277681350708
bgslibrary\bgslibrary\algorithms\MultiLayer\OpenCvDataConversion.h,9.78459358215332,12.617849349975586,13.428894996643066,2.707449197769165,91.5288314819336,0.0,1.1087921857833862,0.3730248510837555,5.952236175537109,1.1087921857833862,1.1087921857833862,1.2999615669250488,3.6926207542419434,10.507169723510742,MultiLayer,91.5288314819336
bgslibrary\bgslibrary\algorithms\DPPratiMediod.h,18.264259338378906,0.34620019793510437,6.596100330352783,2.6036553382873535,1.1404443979263306,22.217933654785156,1.1404443979263306,0.17360834777355194,3.2826852798461914,1.1404443979263306,1.1404443979263306,91.51089477539062,3.612497091293335,12.906739234924316,dp,91.51089477539062
bgslibrary\bgslibrary\algorithms\dp\BgsParams.h,1.1425654888153076,0.0,0.0,2.3029515743255615,1.1425654888153076,0.0,1.1425654888153076,0.0,3.2869465351104736,16.72483253479004,1.1425654888153076,85.7472915649414,3.445517063140869,3.445517063140869,dp,85.7472915649414
bgslibrary\bgslibrary\algorithms\PAWCS.h,19.51881980895996,4.353182315826416,33.9671630859375,97.360595703125,3.1420886516571045,21.63912582397461,3.1420886516571045,2.1750402450561523,4.2859883308410645,2.1420886516571045,3.1420886516571045,4.306536674499512,5.619067192077637,12.139357566833496,LBSP,97.360595703125
bgslibrary\bgslibrary\algorithms\dp\AdaptiveMedianBGS.h,2.917560338973999,7.119390487670898,16.949512481689453,5.852334499359131,4.6974077224731445,14.879002571105957,4.6974077224731445,3.559695243835449,5.057044506072998,2.917560338973999,4.6974077224731445,91.68226623535156,7.167134761810303,16.92159652709961,dp,91.68226623535156
bgslibrary\bgslibrary\algorithms\dp\PratiMediodBGS.h,3.421720504760742,7.841734886169434,17.008054733276367,6.202548980712891,5.0534234046936035,20.090652465820312,5.38215446472168,3.920867443084717,5.556000232696533,16.764232635498047,5.38215446472168,89.32563781738281,7.51280403137207,17.43208122253418,dp,89.32563781738281
bgslibrary\bgslibrary\algorithms\LBSP\BackgroundSubtractorLBSP_.h,2.3921172618865967,4.0,40.1331787109375,94.49951934814453,3.130119800567627,2.2619974613189697,3.3921172618865967,2.3081955909729004,4.523937702178955,18.367788314819336,3.3921172618865967,3.4383153915405273,5.59165620803833,16.193470001220703,LBSP,94.49951934814453
bgslibrary\bgslibrary\algorithms\MultiLayer\BlobResult.cpp,1.3252756595611572,0.0,0.0,22.521949768066406,87.62849426269531,1.7403690814971924,1.3252756595611572,30.632953643798828,5.261811256408691,7.822576999664307,1.3252756595611572,6.4270920753479,9.910938262939453,12.3041410446167,MultiLayer,87.62849426269531
bgslibrary\bgslibrary\algorithms\DPZivkovicAGMM.cpp,19.284162521362305,10.931364059448242,10.276718139648438,6.366671085357666,7.029565334320068,24.80772590637207,7.029565334320068,7.33850622177124,5.175836086273193,15.681614875793457,7.029565334320068,47.76470947265625,7.514902114868164,14.912854194641113,dp,47.76470947265625
bgslibrary\bgslibrary\algorithms\KNN.h,19.51881980895996,22.813926696777344,6.654626846313477,4.613304615020752,3.1420886516571045,21.63912582397461,3.1420886516571045,2.1750402450561523,5.131231784820557,2.1420886516571045,3.1420886516571045,3.3171286582946777,5.619067192077637,12.139357566833496,KDE,22.813926696777344
bgslibrary\bgslibrary\algorithms\SuBSENSE.h,19.481922149658203,4.35216760635376,33.880271911621094,97.70486450195312,3.1418514251708984,21.582706451416016,3.1418514251708984,2.1748342514038086,4.2855119705200195,2.1418514251708984,3.1418514251708984,3.316685438156128,5.618119716644287,12.129772186279297,LBSP,97.70486450195312
bgslibrary\bgslibrary\algorithms\VuMeter\TBackground.h,3.3392703533172607,7.318081855773926,0.0,5.957485198974609,4.799485206604004,4.028346061706543,5.168790817260742,3.659040927886963,5.481511116027832,3.3392703533172607,131.1105194091797,7.339132785797119,8.619161605834961,5.547248840332031,VuMeter,131.1105194091797
